Month,Platform,Product Category,SKU,Title,Vendor,Price,Ad Spend,Impressions,Clicks,CTR,Avg. CPC,Conversions,Revenue,Impression share,Impression share lost to rank,Absolute top impression share
2025-10,Bing,Other,241650,Metric Adapter Stainless Steel,Lincoln Industrial,$31.67,$2.97,16,2,12.50%,$1.49,,,32.65%,65.31%,
2025-10,Bing,Guard Rail,GR-5-A2,Heavy Duty Warehouse Double Guard Rail Add-On Unit - 5 ft,Handle-It,$427.82,$2.92,279,4,1.43%,$0.73,,,61.64%,30.14%,5.48%
2025-10,Bing,General Casters,75SR30GB4206YY,"3"" x 1-1/4"" Soft Rubber Wheel Swivel Caster - 300 lbs. Capacity",Durable Superior Casters,$16.53,$2.84,11,1,9.09%,$2.84,,,75.00%,25.00%,
2025-10,Bing,Safety Cans,7250130,"Type 2 AccuFlow Steel Safety Can, 5 Gal, S/S Flame Arrest, 1"" Hose,Red",Justrite,$123.22,$2.83,94,1,1.06%,$2.83,,,28.45%,69.46%,
2025-10,Bing,General Casters,ER10BCP3,"10"" x 3"" Ever-Roll Flat Free Wheel 3/4"" Bearing (Centered) - 280 lbs. Cap.",Durable Superior Casters,$63.94,$2.81,29,2,6.90%,$1.41,,,86.21%,13.79%,6.90%
2025-10,Bing,Removable Bollards,RPSS6040+ESV60,"6"" Removable Stainless Steel Bollard with Embedment Sleeve (36"" Height)",S4 Bollards,$897.00,$2.80,572,11,1.92%,$0.25,,,63.37%,30.69%,1.98%
2025-10,Bing,General Casters,4060SA1PFP-FT,"6"" x 2"" Colson Performa Wheel Swivel Caster w/ Total Lock Brake - 450 lbs. Capacity",Caster Depot,$62.92,$2.74,29,1,3.45%,$2.74,,,0.00%,0.00%,
2025-10,Bing,Removable Bollards,RPSS4040+ESV40,"4"" Removable Stainless Steel Bollard with Embedment Sleeve (36"" Height)",S4 Bollards,$595.00,$2.72,698,10,1.43%,$0.27,,,42.23%,6.74%,2.59%
2025-10,Bing,Racking,DR9,Drum Storage Rack,Meco-Omaha,$810.07,$2.63,21,2,9.52%,$1.32,,,59.38%,40.63%,6.25%
2025-10,Bing,General Casters,PU12LV24,"12"" x 3"" Polyon Cast Wheel - 3500 lbs. Capacity - Red/Black",Durable Superior Casters,$151.32,$2.60,405,1,0.25%,$2.60,,,3.48%,83.48%,
2025-10,Bing,,ACCESSORY-01,Skipper Janitorial Accessory Pack,Skipper,$166.45,$2.59,4,1,25.00%,$2.59,,,13.04%,73.91%,
2025-10,Bing,General Casters,TP80HT51,"8"" x 1-1/2"" Thermo-Pro Wheel 1/2"" Bearing - 400 lbs. Capacity, 1/2"" ID Ball Bearing",Durable Superior Casters,$16.09,$2.56,9,1,11.11%,$2.56,,,75.00%,25.00%,
2025-10,Bing,Auto Rotisseries,AT-ELITE-R-ASSY-BLUE,AutoTwirler Elite Rotisserie - Blue,Auto Twirler,"$2,381.04",$2.55,24,1,4.17%,$2.55,,,14.29%,85.71%,14.29%
2025-10,Bing,General Casters,75SS40GS8206YY,"4"" x 1-1/4"" Semi-Steel Wheel Swivel Caster - 300 lbs. Capacity",Durable Superior Casters,$21.54,$2.51,178,1,0.56%,$2.51,,,25.53%,74.47%,
2025-10,Bing,Bellman Casters,C-NF8212RS,"8"" Bellman Luggage Cart Wheel, Flat Free, With Swivel 350 lbs.",Dh International,$59.75,$2.51,162,2,1.23%,$1.25,,,40.58%,57.97%,2.90%
2025-10,Bing,General Casters,PP40GI44,"4"" x 1-1/4"" Poly-Pro Wheel Gray/Gray - 350 lbs. Capacity",Durable Superior Casters,$5.15,$2.46,34,1,2.94%,$2.46,,,58.82%,41.18%,3.92%
2025-10,Bing,General Casters,SN12LC52,"12"" x 3"" Eco-Rubber Flat Free Wheel (Centered Hub) - 850 lbs. Capacity - 5/8"" Inner Diameter",Durable Superior Casters,$37.60,$2.42,24,1,4.17%,$2.42,,,100.00%,0.00%,
2025-10,Bing,"Lifts, Rack, Stands",M998082,Engine Stand Adapter for Auto Rotisserie,Merrick Machine,$159.00,$2.41,9,1,11.11%,$2.41,,,47.37%,52.63%,5.26%
2025-10,Bing,AF - Manual Stackers,A-3004,"Straddle Legs Pallet Stacker, 1100-2200 lbs Capacity, 63"" Lift Height - 1,100",Apollo Forklift,"$2,352.94",$2.41,10,1,10.00%,$2.41,,,20.00%,80.00%,2.86%
2025-10,Bing,BLANK,100E58/D7,Laundry Cart with Double Pole Rack,R&B Wire,$240.19,$2.39,12,1,8.33%,$2.39,,,58.82%,41.18%,5.88%
2025-10,Bing,Retractable Bollards,MRSS4040,"4"" Manual Retractable Stainless Steel Bollard (36"" Height)",S4 Bollards,"$1,400.00",$2.38,371,8,2.16%,$0.30,,,51.39%,45.83%,1.39%
2025-10,Bing,Heavy Duty / Container,53DS60LR2419YY,"6"" x 3"" Heavy Duty Ductile Steel Wheel Swivel Caster - 2400 lbs. Capacity - Standard",Durable Superior Casters,$232.67,$2.38,111,1,0.90%,$2.38,,,4.00%,96.00%,4.00%
2025-10,Bing,Fixed Bollards,BPB-WH-096-BK,"Pyramid Base Sign, White / Black",S4 Bollards,$172.86,$2.37,3,1,33.33%,$2.37,,,100.00%,0.00%,50.00%
2025-10,Bing,Bins,SSB441BL,"Stackable Shelf Bins 6""W x 14""L (6 Pack) - Blue",Quantum Storage Systems,$69.24,$2.35,5,1,20.00%,$2.35,,,66.67%,33.33%,
2025-10,Bing,BLANK,4610-GRY-5S,"Standard Poly Truck - 10 Bushel - Gray / All Swivel / 5""",R&B Wire,$406.27,$2.35,1,1,100.00%,$2.35,,,100.00%,0.00%,
2025-10,Bing,BLANK,L152-6,Aluminum 4 Hole Square Flange - 1 in ID/1.315 in OD Pipe,Kee Safety,$27.42,$2.32,5,2,40.00%,$1.16,,,57.14%,42.86%,14.29%
2025-10,Bing,BLANK,F50-8,"Female Single Swivel Socket Member, 1-1/2 in ID/1.90 in OD Pipe",Kee Safety,$30.09,$2.32,1,1,100.00%,$2.32,,,100.00%,0.00%,
2025-10,Bing,Stretch Wrap Machines,SWM-SCD-RMP,Stretch Wrap Machine Scale Ramp,Handle-It,"$1,600.00",$2.31,183,2,1.09%,$1.16,,,66.67%,33.33%,
2025-10,Bing,Leveling Casters,FL80319,"Forged Type Floor Lock Heavy Duty - 8"" Diameter wheels",Durable Superior Casters,$265.67,$2.24,10,1,10.00%,$2.24,,,100.00%,0.00%,16.67%
2025-10,Bing,Stretch Wrap Machines,SWM-SA-1100,Model 1100 Semi-Automatic Turntable Pallet Stretch Wrap Machine,Handle-It,"$11,300.00",$2.23,146,3,2.05%,$0.74,,,92.86%,7.14%,14.29%
2025-10,Bing,Other,247438,O-RING,Lincoln Industrial,$2.82,$2.22,34,1,2.94%,$2.22,,,9.97%,80.97%,0.60%
2025-10,Bing,Fixed Bollards,R-1007-06,"R-1007-06 Steel Pipe Security Bollard (84"" Height x 6-5/8"" Diameter)",Reliance Foundry,$179.00,$2.17,24,2,8.33%,$1.09,,,67.86%,32.14%,3.57%
2025-10,Bing,General Casters,75PM50GM4311YY,"5"" x 1-1/4"" Polymadic Wheel Swivel Caster - 350 lbs. capacity - 3-1/8"" x 4-1/8"" Plate",Durable Superior Casters,$20.99,$2.15,10,1,10.00%,$2.15,,,0.00%,0.00%,
2025-10,Bing,General Casters,75NM40GI4306YY,"4"" x 1-1/4"" Food Service Grade Swivel Caster with Thermoplastic Wheel",Durable Superior Casters,$18.68,$2.10,11,1,9.09%,$2.10,,,80.00%,10.00%,
2025-10,Bing,BLANK,304.5,"iForks-32 Forklift Scale, 5,000 lbs",Ravas,"$5,281.00",$2.07,22,1,4.55%,$2.07,,,25.68%,71.62%,4.05%
2025-10,Bing,General Casters,W-PN16480R2C,"16"" DH® Wheel Barrow Wheel - 350lb. Capacity",Dh International,$43.70,$2.07,6,1,16.67%,$2.07,,,26.32%,73.68%,
2025-10,Bing,Stretch Wrap Machines,SWM-SA-1100AA-C,Model 1100AA-C Automatic Pallet Stretch Wrap Machine,Handle-It,"$22,000.00",$2.07,61,2,3.28%,$1.03,,,84.21%,15.79%,15.79%
2025-10,Bing,General Casters,09TP40DH8191YY,"4"" x 1"" Thermo-Pro Wheel Swivel Grip Ring Stem Caster - 125 lbs. Capacity",Durable Superior Casters,$8.73,$2.04,2,2,100.00%,$1.02,,,100.00%,0.00%,
2025-10,Bing,General Casters,TP60JX60,"6"" x 2"" Thermo-Pro Wheel (1/2"" Precision Bearing) - 500 lbs. Capacity",Durable Superior Casters,$21.87,$2.04,11,1,9.09%,$2.04,,,50.00%,50.00%,
2025-10,Bing,Guard Rail,GR-10-S2,"Heavy Duty Warehouse Double Guard Rail Starter Unit, 10 ft",Handle-It,$784.73,$2.04,71,2,2.82%,$1.02,,,0.00%,100.00%,
2025-10,Bing,Hoses,274050,Lincoln 500' Grease Tubing 1/4in OD Gray,Lincoln Industrial,$748.90,$2.03,86,5,5.81%,$0.41,,,58.39%,39.42%,16.79%
2025-10,Bing,ST - Accessories,GENCAP-100,"GenieGrips Forklift Tine Caps, 4",Sentry Protection,$293.55,$2.01,36,4,11.11%,$0.50,,,84.85%,15.15%,
2025-10,Bing,Bollard Covers,CW-RND-GY-08-060,"Column Wrap - Round / Gray / 8"" x 60""",S4 Bollards,$89.29,$1.97,13,1,7.69%,$1.97,,,52.17%,47.83%,
2025-10,Bing,Lifts & Stackers,260204,"Wesco Double Scissor High Lift Table - 770 Lbs Capacity, 51"" Lift",Wesco,"$1,588.69",$1.94,25,1,4.00%,$1.94,,,3.65%,80.00%,
2025-10,Bing,Carts,LT5B,Flat Top Stocking Cart,Dutro,$340.50,$1.90,9,1,11.11%,$1.90,,,100.00%,0.00%,
2025-10,Bing,AF - Electric Stackers,A-3012,"Power Lift Fixed Stacker, 3300 lbs Capacity, 98""-118"" Lifting Height",Apollo Forklift,"$3,823.53",$1.90,297,3,1.01%,$0.63,,,4.72%,86.48%,0.86%
2025-10,Bing,General Casters,T3SR40GB4206YY,"4"" x 1-1/4"" Soft Rubber Wheel Swivel Caster w/ Total Lock Brake - 350 lbs. Capacity",Durable Superior Casters,$22.56,$1.89,102,1,0.98%,$1.89,,,2.42%,93.33%,
2025-10,Bing,BLANK,46-244-6/5DB-L,"Extra Heavy Duty 14 GA Cabinet with 6 Half-Width Drawers, 60 in / 3",Strong Hold,"$4,230.58",$1.89,1,1,100.00%,$1.89,,,0.00%,0.00%,
2025-10,Bing,Heavy Duty / Container,FTHS60JS0417YY,"6"" x 2"" Heavy-Duty Semi-Steel Wheel Swivel Caster w/ Total Lock Brake - 1400 lbs. Cap.",Durable Superior Casters,$83.36,$1.88,941,4,0.43%,$0.47,,,60.93%,15.23%,3.97%
2025-10,Bing,General Casters,27RS80JB0417YY,"8"" x 2"" Mold-On Rubber Cast Wheel Swivel Caster - 600 lbs. capacity - Standard",Durable Superior Casters,$40.22,$1.87,41,1,2.44%,$1.87,,,100.00%,0.00%,
2025-10,Bing,General Casters,75SR40GB4206YY,"4"" x 1-1/4"" Soft Rubber Wheel Swivel Caster - 350 lbs. Capacity",Durable Superior Casters,$17.74,$1.85,19,1,5.26%,$1.85,,,75.00%,15.00%,10.00%
2025-10,Bing,BLANK,C50-88,"Single Swivel Socket, 1-1/2 in ID/1.90 in OD Pipe",Kee Safety,$55.44,$1.85,4,1,25.00%,$1.85,,,100.00%,0.00%,66.67%
2025-10,Bing,Bins,SSB441BL,"Stackable Shelf Bins 6""W x 14""L (6 Pack), Blue",Quantum Storage Systems,$69.24,$1.85,7,1,14.29%,$1.85,,,75.00%,25.00%,
2025-10,Bing,General Casters,4080SA1PFP,"8"" x 2"" Colson Performa Wheel Swivel Caster - 600 lbs. Capacity",Caster Depot,$52.46,$1.84,266,6,2.26%,$0.31,,,77.27%,9.09%,4.55%
2025-10,Bing,ST - Column Protectors,CS3842-20S,"Column Protector - Sentry Protection Products (Extra Large), 20""x20""",Sentry Protection,$840.00,$1.79,2,1,50.00%,$1.79,,,100.00%,0.00%,
2025-10,Bing,Heavy Duty / Container,27HS60JS0417YY,"6"" x 2"" Heavy Duty Semi-Steel Wheel Swivel Caster - 1250 lbs. Capacity - Standard",Durable Superior Casters,$49.42,$1.78,329,1,0.30%,$1.78,,,24.49%,73.47%,
2025-10,Bing,Auto Rotisseries,AT-BCP-ASSY,"AutoTwirler Body Cart Plus, Bare Steel",Auto Twirler,"$1,071.51",$1.74,10,1,10.00%,$1.74,,,60.00%,40.00%,10.00%
2025-10,Bing,Pallet Rack Safety Netting,BN-RSB-146.5,"Pallet Rack Safety Nets - Standard/J-Hook Attachments, 12 ft / Fixed / Standard",Adrian's Safety,$105.00,$1.72,15,1,6.67%,$1.72,,,47.83%,52.17%,
2025-10,Bing,Fixed Bollards,PPP-UB-04-052-P,"4"" Steel Bollard with Baseplate and 1/8"" Bollard Cover 48""-52"" H, 40 / 52"" / Urban Bronze",S4 Bollards,$162.86,$1.71,1,1,100.00%,$1.71,,,33.33%,33.33%,
2025-10,Bing,BLANK,LLTP32-B,32-Tablet/Chromebook Charging Cart,Luxor,"$1,573.36",$1.69,1,1,100.00%,$1.69,,,100.00%,0.00%,
2025-10,Bing,General Casters,PM40JM60,"4"" x 2"" Polymadic Wheel (1/2"" Precision Ball Bearing) - 600 lbs. capacity",Durable Superior Casters,$18.10,$1.68,11,1,9.09%,$1.68,,,88.89%,11.11%,
2025-10,Bing,Other,1261,12-Volt Lithium-Ion Battery,Lincoln Industrial,$118.58,$1.66,170,2,1.18%,$0.83,,,6.16%,83.13%,0.42%
2025-10,Bing,Pumps,638-37549-2,Manual Grease Filler Pump,Lincoln Industrial,$206.55,$1.63,23,1,4.35%,$1.63,,,61.54%,38.46%,15.38%
