"Report Name: TG Monthly Bing Ads Product Spend"
"Report Time: 10/20/2025,10/26/2025"
"Time Zone: (GMT-08:00) Pacific Time (US & Canada); Tijuana"
"Last Completed Available Day: 10/28/2025 12:20:00 AM (GMT)"
"Last Completed Available Hour: 10/28/2025 12:20:00 AM (GMT)"

"Merchant product ID","Custom label 1 (Product)","Title","Brand","Price","Spend","Impressions","Clicks","CTR","Avg. CPC","Conversions","Revenue","Impression share","Impression share lost to rank","Absolute top impression share"
"31083228921901/ Duplicates","G327NR60JB0437YY","6"" x 2"" Rubber on Nylon Wheel Heavy Duty Spring Gate Caster","Durable Superior Casters","143.09","9.48","493","3","0.61%","3.16","0.00","0.00","22.76%","75.61%","1.63"
"43583281135841/ Duplicates","27PU60JV0417TY","6"" x 2"" Polyon Cast Swivel Caster Med Heavy Duty, Top Lock Brake,1200# Cap - Standard","Durable Superior Casters","58.15","9.03","200","1","0.50%","9.03","0.00","0.00","55.88%","44.12%","0.00"
"PO40GB82","","4"" x 1-1/4"" Polyolefin Wheel Black - 350 lbs. Capacity","Durable Superior Casters","1.87","7.66","99","4","4.04%","1.92","0.00","0.00","63.45%","35.86%","11.72"
"42970467860705/ Duplicates","RS10JB04","10"" x 2"" Mold-On Rubber Cast Iron Wheel - 750 lbs. capacity - 3/4"" ID Roller Bearing","Durable Superior Casters","76.75","7.57","59","1","1.69%","7.57","0.00","0.00","50.00%","50.00%","0.00"
"31080629829677/ Duplicates","SM18-53","6 Wheel Stocking Cart (55""L)","Dutro","378.67","7.21","171","2","1.17%","3.61","0.00","0.00","12.87%","81.19%","0.99"
"34411895193645/ Duplicates","RPSS4040+ESV40","4"" Removable Stainless Steel Bollard with Embedment Sleeve (36"" Height)","S4 Bollards","595","7.07","99","2","2.02%","3.54","0.00","0.00","100.00%","0.00%","0.00"
"31081149431853","4840-CTC-C","Plastic Nesting Pallet 48""W x 40""D","Composite Technologies Inc.","62.6","6.88","3,208","8","0.25%","0.86","0.00","0.00","33.25%","57.08%","5.66"
"40590537687208/ Duplicates","BCSV604042","6"" Carbon Steel Dome Top Bollard with Baseplate (36-42"" Height) - 42"" Height","S4 Bollards","299.25","6.58","128","4","3.13%","1.65","1.00","1,560.67","52.63%","47.37%","0.00"
"31083431428141","M998044","Flush Top Heavy Duty Moving Dolly 12"" x 16"" - 2500 lb. Capacity","Merrick Machine","165.05","6.57","2,069","13","0.63%","0.51","0.00","0.00","47.53%","22.70%","8.22"
"SR40GB42","","4"" x 1-1/4"" Soft Rubber Wheel Black - 245 lbs. Capacity","Durable Superior Casters","8.35","6.55","29","3","10.34%","2.18","0.00","0.00","79.41%","20.59%","11.76"
"40606129225896/ Duplicates","G327HU60JI6037YY","6"" x 2"" Rubber on Ergolastomer Wheel Heavy Duty Spring Gate Caster","Durable Superior Casters","189.64","6.33","235","3","1.28%","2.11","0.00","0.00","66.67%","33.33%","8.33"
"31081981214765","94024","Electric Grease Pump W/ Timer - P203 Series 24V","Lincoln Industrial","1177.54","6.20","719","9","1.25%","0.69","0.00","0.00","47.04%","11.86%","20.95"
"37491975618728/ Duplicates","PP10HI95","10"" x 1-1/2 Poly-Pro Wheel Gray/Gray - 700bs. Capacity - 1-3/8"" ID Plain Bore","Durable Superior Casters","30.8","5.92","379","2","0.53%","2.96","0.00","0.00","4.41%","88.11%","0.00"
"31082811752493/ Duplicates","FTPM60JM6017YY","6"" x 2"" Polymadic Wheel Swivel Caster W/ Total Lock Brake - 900 lbs. Cap.","Durable Superior Casters","72.26","5.57","165","2","1.21%","2.79","0.00","0.00","42.19%","57.81%","3.13"
"43583281201377/ Duplicates","27PU40JG0417TY","4"" x 2"" Polyon Cast Wheel Swivel Caster w/ Top Lock Brake - 800 lbs. Cap. - Standard","Durable Superior Casters","44.68","5.44","145","1","0.69%","5.44","0.00","0.00","42.86%","57.14%","0.00"
"43583285854433/ Duplicates","27HT40JQ0417YY","4"" x 2"" High Temp. Phenolic Swivel Caster (Zinc Plated) - 600 lbs. Cap. - Standard","Durable Superior Casters","55.15","5.18","7","1","14.29%","5.18","0.00","0.00","100.00%","0.00%","0.00"
"31080858976301/ Duplicates","1354","Carpeted Piano Dolly - 1,200lb Capacity","Dutro","167.27","5.12","200","3","1.50%","1.71","0.00","0.00","18.39%","81.61%","2.30"
"CP4840-N-100","","Plastic Industrial Pallet 48"" x 40"" - 3,500 lbs. Static Load","Nelson","33.25","5.10","13","2","15.38%","2.55","0.00","0.00","6.25%","92.71%","0.00"
"34411085561901/ Duplicates","RPCS6040+ESV60","6"" Removable Carbon Steel Bollard with Embedment Sleeve (36"" Height)","S4 Bollards","560","5.03","354","7","1.98%","0.72","0.00","0.00","69.39%","28.57%","2.04"
"44273959633121/ Duplicates","PPS-YL-04-065-NS","Reflective Dome Top Bollard Covers for 4"" Diameter Pipe (65"" Height)","S4 Bollards","42.99","4.89","55","1","1.82%","4.89","0.00","0.00","0.00%","0.00%","0.00"
"34410786783277","RPCS4040+ESV40","4"" Removable Carbon Steel Bollard with Embedment Sleeve (36 Inch Height)","S4 Bollards","475","4.88","1,146","7","0.61%","0.70","0.00","0.00","41.42%","15.33%","8.70"
"SR40GB82","","4"" x 1-1/4"" Soft Rubber Wheel - 350 lbs. Capacity","Durable Superior Casters","3.97","4.55","34","3","8.82%","1.52","0.00","0.00","66.67%","33.33%","2.38"
"31081324675117","20EP72","Bluff® Edge Of Dock Leveler - 20,000lb. Capacity","Bluff Manufacturing","1886","4.48","3,137","13","0.41%","0.34","0.00","0.00","63.08%","28.46%","12.31"
"43922866372833","BN-0304","Bednet Interior Cargo Restraint - Backseat Cargo Net with Mesh","Adrian's Safety Solutions","129.99","4.47","81","3","3.70%","1.49","0.00","0.00","23.42%","73.87%","5.41"
"43702611607777","SWM-SA-1200UL","Model 1200UL Semi-Automatic Ultra-Low Pallet Stretch Wrap Machine - 86""","Handle-It","15300","4.45","1,768","18","1.02%","0.25","0.00","0.00","41.85%","6.61%","2.64"
"133D","","Plastic Plug","Kee Safety","5.12","4.42","255","4","1.57%","1.11","0.00","0.00","37.64%","59.55%","2.25"
"42970467172577/ Duplicates","43HS80JS0419YY","8"" x 2"" Heavy Duty Semi-Steel Wheel Swivel Caster - 1400 lbs. capacity - Standard","Durable Superior Casters","84.77","4.30","202","3","1.49%","1.43","0.00","0.00","40.00%","60.00%","0.00"
"42964660715745/ Duplicates","RP-42LH-MD","End of Aisle Rack Protector Medium Duty - Left / 42""","Handle-It","135","4.26","55","4","7.27%","1.07","0.00","0.00","38.89%","55.56%","0.00"
"40088511578280","W-NF08250R","8"" Bellman Luggage Cart Wheel, Flat Free, 350 lbs.","DH International","29.62","4.20","532","8","1.50%","0.53","0.00","0.00","32.05%","57.56%","7.90"
"ARCH-402GY-06-052-S","","Architectural Bollard Covers for 6"" and 4"" Bollards (52"" Height), Light Gray / No","S4 Bollards","119.99","4.14","2","2","100.00%","2.07","1.00","649.47","100.00%","0.00%","0.00"
"01HR20AB8168YY","","2"" Double Wheel Hard Rubber Threaded Swivel Stem Caster - 200 lbs. Capacity","Durable Superior Casters","10.14","4.13","208","4","1.92%","1.03","0.00","0.00","67.88%","27.74%","6.93"
"42964658356449","GR-10","Heavy Duty Warehouse Guard Rail Beam - 10 ft","Handle-It","245.45","4.09","246","5","2.03%","0.82","0.00","0.00","39.60%","9.90%","5.94"
"32769248100397/ Duplicates","RS12KB23","12"" x 2-1/2"" Mold-On Rubber Cast Iron Wheel - 1200 lbs. capacity","Durable Superior Casters","108.04","4.01","30","1","3.33%","4.01","0.00","0.00","75.00%","25.00%","0.00"
"HKCTBR8PK","","Toilet Brush & Holder, 8 Pack","Suncast Commercial","109.7","3.88","34","2","5.88%","1.94","0.00","0.00","21.80%","76.69%","3.76"
"42964658946273","GR-6-S2","Heavy Duty Warehouse Double Guard Rail Starter Unit - 6 ft","Handle-It","654.73","3.85","442","12","2.71%","0.32","0.00","0.00","15.58%","30.52%","3.25"
"PS73X95","","Pallet Jack Load Wheel - 1300lb. Capacity","Durable Superior Casters","46.83","3.82","141","2","1.42%","1.91","0.00","0.00","65.41%","33.33%","9.43"
"31080625504301/ Duplicates","2041-PT","Mattress Moving Cart (Pillow Top)","Dutro","349.3","3.78","118","5","4.24%","0.76","1.00","535.39","48.39%","51.61%","12.90"
"21PP35GA4468YY","","3-1/2"" x 1-1/4"" Poly-Pro Wheel Threaded Swivel Stem Caster - 300 lbs. capacity","Durable Superior Casters","13.72","3.71","13","2","15.38%","1.86","0.00","0.00","52.63%","47.37%","0.00"
"43698284462305/ Duplicates","AU10","Series 4000 Standard Heavy Duty Cantilever Rack","Meco-Omaha","1543.27","3.68","215","3","1.40%","1.23","0.00","0.00","12.40%","87.60%","1.55"
"7961923977441/H.it/NEW","SWM-SA-STDRMP","Ramp for Stretch Wrap Machines 600/800/850/1100","Handle-it","750","3.46","125","1","0.80%","3.46","0.00","0.00","100.00%","0.00%","0.00"
"31080879456301/ Duplicates","75TP50GY4756TY","5"" x 1-1/4"" Thermo-Pro Wheel Square Swivel Stem Caster W/ Brake - 300 lbs. Cap.","Durable Superior Casters","28.29","3.33","38","1","2.63%","3.33","0.00","0.00","100.00%","0.00%","0.00"
"F86145B0","","Valley Craft Steel Drum Grabber Forklift Attachments, Deluxe","Valley Craft","895","3.25","2","1","50.00%","3.25","0.00","0.00","100.00%","0.00%","0.00"
"46289617027297","P 4 SCH 40 @ 84""","Steel Pipe Bollards - Raw / 4""","S4 Bollards","132.86","3.22","17","2","11.76%","1.61","0.00","0.00","86.67%","13.33%","6.67"
"44413051797729","ARCH-402GY-06-052-S","Architectural Bollard Covers for 6"" and 4"" Bollards (52"" Height)","S4 Bollards","119.99","3.12","5","1","20.00%","3.12","0.00","0.00","66.67%","33.33%","0.00"
"35611348336808/ Duplicates","21PP50GP4742YY","5"" x 1-1/4"" Poly-Pro Wheel Square Swivel Stem Caster - 350 lbs. Capacity","Durable Superior Casters","20.14","3.11","26","1","3.85%","3.11","0.00","0.00","100.00%","0.00%","0.00"
"43429410701537","BN-MSN-95.5","Modular Pallet Rack Safety Netting - Standard/J-Hook Attachments - 8 ft / Standard","Adrian's Safety Solutions","105","3.09","361","3","0.83%","1.03","0.00","0.00","50.00%","10.42%","9.03"
"43429410963681/ Duplicates","BN-MSN-119.5","Modular Pallet Rack Safety Netting - Standard/J-Hook Attachments - 10 ft / Standard","Adrian's Safety Solutions","120","3.09","188","3","1.60%","1.03","0.00","0.00","21.88%","78.13%","0.00"
"45274543849697/ Duplicates","A-1034","Lithium Full Electric Pallet Jack, 3300 lbs Capacity, 48"" x 27"" Forks","Apollo Forklift","1572","3.05","577","7","1.21%","0.44","0.00","0.00","13.03%","80.99%","0.35"
"31080855011373","28TP80JX6017YY","8"" x 2"" Thermo-Pro Wheel Rigid Caster - 600 lbs. Capacity","Durable Superior Casters","38.32","3.04","156","2","1.28%","1.52","0.00","0.00","80.70%","17.54%","7.02"
"31080879259693","75TP50GY4756YY","5"" x 1-1/4"" Thermo-Pro Wheel Square Swivel Stem Caster - 300 lbs. Capacity","Durable Superior Casters","25.81","3.01","237","2","0.84%","1.51","0.00","0.00","71.93%","2.63%","14.04"
"32158254399533","QUS234BL","Ultra Stack and Hang Bins 5-1/2""W x 14-3/4""L x 5""H (12 pack) - Blue","Quantum Storage Systems","87.12","2.98","2","1","50.00%","2.98","0.00","0.00","50.00%","50.00%","0.00"
"31082187718701","241650","Metric Adapter Stainless Steel","Lincoln Industrial","31.67","2.97","16","2","12.50%","1.49","0.00","0.00","32.65%","65.31%","0.00"
"42964659405025","GR-5-A2","Heavy Duty Warehouse Double Guard Rail Add-On Unit - 5 ft","Handle-It","427.82","2.92","279","4","1.43%","0.73","0.00","0.00","61.64%","30.14%","5.48"
"75SR30GB4206YY","","3"" x 1-1/4"" Soft Rubber Wheel Swivel Caster - 300 lbs. Capacity","Durable Superior Casters","16.53","2.84","11","1","9.09%","2.84","0.00","0.00","75.00%","25.00%","0.00"
"31080637530157","7250130","Type 2 AccuFlow Steel Safety Can, 5 Gal, S/S Flame Arrest, 1"" Hose,Red","Justrite","123.22","2.83","94","1","1.06%","2.83","0.00","0.00","28.45%","69.46%","0.00"
"ER10BCP3","","10"" x 3"" Ever-Roll Flat Free Wheel 3/4"" Bearing (Centered) - 280 lbs. Cap.","Durable Superior Casters","63.94","2.81","29","2","6.90%","1.41","0.00","0.00","86.21%","13.79%","6.90"
"34412177096749","RPSS6040+ESV60","6"" Removable Stainless Steel Bollard with Embedment Sleeve (36"" Height)","S4 Bollards","897","2.80","572","11","1.92%","0.25","0.00","0.00","63.37%","30.69%","1.98"
"35593154691240/ Duplicates","4060SA1PFP-FT","6"" x 2"" Colson Performa Wheel Swivel Caster w/ Total Lock Brake - 450 lbs. Capacity","Colson","62.92","2.74","29","1","3.45%","2.74","0.00","0.00","0.00%","0.00%","0.00"
"34411895193645","RPSS4040+ESV40","4"" Removable Stainless Steel Bollard with Embedment Sleeve (36"" Height)","S4 Bollards","595","2.72","698","10","1.43%","0.27","0.00","0.00","42.23%","6.74%","2.59"
"31081232367661","DR9","Drum Storage Rack","Meco-Omaha","810.07","2.63","21","2","9.52%","1.32","0.00","0.00","59.38%","40.63%","6.25"
"39561765978280/ Duplicates","PU12LV24","12"" x 3"" Polyon Cast Wheel - 3500 lbs. Capacity - Red/Black","Durable Superior Casters","151.32","2.60","405","1","0.25%","2.60","0.00","0.00","3.48%","83.48%","0.00"
"47158241919201","ACCESSORY-01","Skipper Janitorial Accessory Pack","Skipper","166.45","2.59","4","1","25.00%","2.59","0.00","0.00","13.04%","73.91%","0.00"
"TP80HT51","","8"" x 1-1/2"" Thermo-Pro Wheel 1/2"" Bearing - 400 lbs. Capacity, 1/2"" ID Ball Bearing","Durable Superior Casters","16.09","2.56","9","1","11.11%","2.56","0.00","0.00","75.00%","25.00%","0.00"
"32158251221037/ Duplicates","AT-ELITE-R-ASSY-BLUE","AutoTwirler Elite Rotisserie - Blue","Auto Twirler","2381.04","2.55","24","1","4.17%","2.55","0.00","0.00","14.29%","85.71%","14.29"
"31081065807917/ Duplicates","75SS40GS8206YY","4"" x 1-1/4"" Semi-Steel Wheel Swivel Caster - 300 lbs. Capacity","Durable Superior Casters","21.54","2.51","178","1","0.56%","2.51","0.00","0.00","25.53%","74.47%","0.00"
"42727767441633/ Duplicates","C-NF8212RS","8"" Bellman Luggage Cart Wheel, Flat Free, With Swivel 350 lbs.","DH International","59.75","2.51","162","2","1.23%","1.25","0.00","0.00","40.58%","57.97%","2.90"
"PP40GI44","","4"" x 1-1/4"" Poly-Pro Wheel Gray/Gray - 350 lbs. Capacity","Durable Superior Casters","5.15","2.46","34","1","2.94%","2.46","0.00","0.00","58.82%","41.18%","3.92"
"42955945050337/ Duplicates","SN12LC52","12"" x 3"" Eco-Rubber Flat Free Wheel (Centered Hub) - 850 lbs. Capacity - 5/8"" Inner Diameter","Durable Superior Casters","37.6","2.42","24","1","4.17%","2.42","0.00","0.00","100.00%","0.00%","0.00"
"31081720873005","M998082","Engine Stand Adapter for Auto Rotisserie","Merrick Machine","159","2.41","9","1","11.11%","2.41","0.00","0.00","47.37%","52.63%","5.26"
"45274543685857","A-3004","Straddle Legs Pallet Stacker, 1100-2200 lbs Capacity, 63"" Lift Height - 1,100","Apollo Forklift","2352.94","2.41","10","1","10.00%","2.41","0.00","0.00","20.00%","80.00%","2.86"
"32445269475373","100E58/D7","Laundry Cart with Double Pole Rack","R&B Wire","240.19","2.39","12","1","8.33%","2.39","0.00","0.00","58.82%","41.18%","5.88"
"39825150967976/ Duplicates","MRSS4040","4"" Manual Retractable Stainless Steel Bollard (36"" Height)","S4 Bollards","1400","2.38","371","8","2.16%","0.30","0.00","0.00","51.39%","45.83%","1.39"
"42970463994081/ Duplicates","53DS60LR2419YY","6"" x 3"" Heavy Duty Ductile Steel Wheel Swivel Caster - 2400 lbs. Capacity - Standard","Durable Superior Casters","232.67","2.38","111","1","0.90%","2.38","0.00","0.00","4.00%","96.00%","4.00"
"BPB-WH-096-BK","","Pyramid Base Sign, White / Black","S4 Bollards","172.86","2.37","3","1","33.33%","2.37","0.00","0.00","100.00%","0.00%","50.00"
"31081106997293","SSB441BL","Stackable Shelf Bins 6""W x 14""L (6 Pack) - Blue","Quantum Storage Systems","69.24","2.35","5","1","20.00%","2.35","0.00","0.00","66.67%","33.33%","0.00"
"46194487001313","4610-GRY-5S","Standard Poly Truck - 10 Bushel - Gray / All Swivel / 5""","R&B Wire","406.27","2.35","1","1","100.00%","2.35","0.00","0.00","100.00%","0.00%","0.00"
"43732798111969","L152-6","Aluminum 4 Hole Square Flange - 1 in ID/1.315 in OD Pipe","Kee Safety","27.42","2.32","5","2","40.00%","1.16","0.00","0.00","57.14%","42.86%","14.29"
"F50-8","","Female Single Swivel Socket Member, 1-1/2 in ID/1.90 in OD Pipe","Kee Safety","30.09","2.32","1","1","100.00%","2.32","0.00","0.00","100.00%","0.00%","0.00"
"7962042499297/H.it/NEW","SWM-SCD-RMP","Stretch Wrap Machine Scale Ramp","Handle-it","1600","2.31","183","2","1.09%","1.16","0.00","0.00","66.67%","33.33%","0.00"
"43583274647777","FL80319","Forged Type Floor Lock Heavy Duty - 8"" Diameter wheels","Durable Superior Casters","265.67","2.24","10","1","10.00%","2.24","0.00","0.00","100.00%","0.00%","16.67"
"7767288545505","SWM-SA-1100","Model 1100 Semi-Automatic Turntable Pallet Stretch Wrap Machine","Handle-it","11300","2.23","146","3","2.05%","0.74","0.00","0.00","92.86%","7.14%","14.29"
"247438","","O-RING","Lincoln Industrial","2.82","2.22","34","1","2.94%","2.22","0.00","0.00","9.97%","80.97%","0.60"
"R-1007-06","","R-1007-06 Steel Pipe Security Bollard (84"" Height x 6-5/8"" Diameter)","Reliance Foundry","179","2.17","24","2","8.33%","1.09","0.00","0.00","67.86%","32.14%","3.57"
"42955937579233/ Duplicates","75PM50GM4311YY","5"" x 1-1/4"" Polymadic Wheel Swivel Caster - 350 lbs. capacity - 3-1/8"" x 4-1/8"" Plate","Durable Superior Casters","20.99","2.15","10","1","10.00%","2.15","0.00","0.00","0.00%","0.00%","0.00"
"75NM40GI4306YY","","4"" x 1-1/4"" Food Service Grade Swivel Caster with Thermoplastic Wheel","Durable Superior Casters","18.68","2.10","11","1","9.09%","2.10","0.00","0.00","80.00%","10.00%","0.00"
"304.5","","iForks-32 Forklift Scale, 5,000 lbs","Ravas","5281","2.07","22","1","4.55%","2.07","0.00","0.00","25.68%","71.62%","4.05"
"31081068560429","W-PN16480R2C","16"" DH® Wheel Barrow Wheel - 350lb. Capacity","DH International","43.7","2.07","6","1","16.67%","2.07","0.00","0.00","26.32%","73.68%","0.00"
"4329363636269","SWM-SA-1100AA-C","Model 1100AA-C Automatic Pallet Stretch Wrap Machine","Handle-it","22000","2.07","61","2","3.28%","1.03","0.00","0.00","84.21%","15.79%","15.79"
"09TP40DH8191YY","","4"" x 1"" Thermo-Pro Wheel Swivel Grip Ring Stem Caster - 125 lbs. Capacity","Durable Superior Casters","8.73","2.04","2","2","100.00%","1.02","0.00","0.00","100.00%","0.00%","0.00"
"31080906784813/ Duplicates","TP60JX60","6"" x 2"" Thermo-Pro Wheel (1/2"" Precision Bearing) - 500 lbs. Capacity","Durable Superior Casters","21.87","2.04","11","1","9.09%","2.04","0.00","0.00","50.00%","50.00%","0.00"
"GR-10-S2","","Heavy Duty Warehouse Double Guard Rail Starter Unit, 10 ft","Handle-It","784.73","2.04","71","2","2.82%","1.02","0.00","0.00","0.00%","100.00%","0.00"
"31082177888301","274050","Lincoln 500' Grease Tubing 1/4in OD Gray","Lincoln Industrial","748.9","2.03","86","5","5.81%","0.41","0.00","0.00","58.39%","39.42%","16.79"
"GENCAP-100","","GenieGrips Forklift Tine Caps, 4","Sentry Protection Products","293.55","2.01","36","4","11.11%","0.50","0.00","0.00","84.85%","15.15%","0.00"
"46289807933665","CW-RND-GY-08-060","Column Wrap - Round / Gray / 8"" x 60""","S4 Bollards","89.29","1.97","13","1","7.69%","1.97","0.00","0.00","52.17%","47.83%","0.00"
"31080678850605","260204","Wesco Double Scissor High Lift Table - 770 Lbs Capacity, 51"" Lift","Wesco","1588.69","1.94","25","1","4.00%","1.94","0.00","0.00","3.65%","80.00%","0.00"
"31082290741293","LT5B","Flat Top Stocking Cart","Dutro","340.5","1.90","9","1","11.11%","1.90","0.00","0.00","100.00%","0.00%","0.00"
"45274544537825/ Duplicates","A-3012","Power Lift Fixed Stacker, 3300 lbs Capacity, 98""-118"" Lifting Height","Apollo Forklift","3823.53","1.90","297","3","1.01%","0.63","0.00","0.00","4.72%","86.48%","0.86"
"36193027424424/ Duplicates","T3SR40GB4206YY","4"" x 1-1/4"" Soft Rubber Wheel Swivel Caster w/ Total Lock Brake - 350 lbs. Capacity","Durable Superior Casters","22.56","1.89","102","1","0.98%","1.89","0.00","0.00","2.42%","93.33%","0.00"
"46-244-6/5DB-L","","Extra Heavy Duty 14 GA Cabinet with 6 Half-Width Drawers, 60 in / 3","Strong Hold","4230.58","1.89","1","1","100.00%","1.89","0.00","0.00","0.00%","0.00%","0.00"
"36482364768424","FTHS60JS0417YY","6"" x 2"" Heavy-Duty Semi-Steel Wheel Swivel Caster w/ Total Lock Brake - 1400 lbs. Cap.","Durable Superior Casters","83.36","1.88","941","4","0.43%","0.47","0.00","0.00","60.93%","15.23%","3.97"
"43583285526753/ Duplicates","27RS80JB0417YY","8"" x 2"" Mold-On Rubber Cast Wheel Swivel Caster - 600 lbs. capacity - Standard","Durable Superior Casters","40.22","1.87","41","1","2.44%","1.87","0.00","0.00","100.00%","0.00%","0.00"
"75SR40GB4206YY","","4"" x 1-1/4"" Soft Rubber Wheel Swivel Caster - 350 lbs. Capacity","Durable Superior Casters","17.74","1.85","19","1","5.26%","1.85","0.00","0.00","75.00%","15.00%","10.00"
"C50-88","","Single Swivel Socket, 1-1/2 in ID/1.90 in OD Pipe","Kee Safety","55.44","1.85","4","1","25.00%","1.85","0.00","0.00","100.00%","0.00%","66.67"
"SSB441BL","","Stackable Shelf Bins 6""W x 14""L (6 Pack), Blue","Quantum Storage Systems","69.24","1.85","7","1","14.29%","1.85","0.00","0.00","75.00%","25.00%","0.00"
"31081377497133","4080SA1PFP","8"" x 2"" Colson Performa Wheel Swivel Caster - 600 lbs. Capacity","Colson","52.46","1.84","266","6","2.26%","0.31","0.00","0.00","77.27%","9.09%","4.55"
"CS3842-20S","","Column Protector - Sentry Protection Products (Extra Large), 20""x20""","Sentry Protection Products","840","1.79","2","1","50.00%","1.79","0.00","0.00","100.00%","0.00%","0.00"
"43583278055649/ Duplicates","27HS60JS0417YY","6"" x 2"" Heavy Duty Semi-Steel Wheel Swivel Caster - 1250 lbs. Capacity - Standard","Durable Superior Casters","49.42","1.78","329","1","0.30%","1.78","0.00","0.00","24.49%","73.47%","0.00"
"AT-BCP-ASSY","","AutoTwirler Body Cart Plus, Bare Steel","Auto Twirler","1071.51","1.74","10","1","10.00%","1.74","0.00","0.00","60.00%","40.00%","10.00"
"BN-RSB-146.5","","Pallet Rack Safety Nets - Standard/J-Hook Attachments, 12 ft / Fixed / Standard","Adrian's Safety Solutions","105","1.72","15","1","6.67%","1.72","0.00","0.00","47.83%","52.17%","0.00"
"PPP-UB-04-052-P","","4"" Steel Bollard with Baseplate and 1/8"" Bollard Cover 48""-52"" H, 40 / 52"" / Urban Bronze","S4 Bollards","162.86","1.71","1","1","100.00%","1.71","0.00","0.00","33.33%","33.33%","0.00"
"LLTP32-B","","32-Tablet/Chromebook Charging Cart","Luxor","1573.36","1.69","1","1","100.00%","1.69","0.00","0.00","100.00%","0.00%","0.00"
"PM40JM60","","4"" x 2"" Polymadic Wheel (1/2"" Precision Ball Bearing) - 600 lbs. capacity","Durable Superior Casters","18.1","1.68","11","1","9.09%","1.68","0.00","0.00","88.89%","11.11%","0.00"
"39560931672232","1261","12-Volt Lithium-Ion Battery","Lincoln Industrial","118.58","1.66","170","2","1.18%","0.83","0.00","0.00","6.16%","83.13%","0.42"
"31082164748333/ Duplicates","638-37549-2","Manual Grease Filler Pump","Lincoln Industrial","206.55","1.63","23","1","4.35%","1.63","0.00","0.00","61.54%","38.46%","15.38"
"42955945017569/ Duplicates","SN12LC53","12"" x 3"" Eco-Rubber Flat Free Wheel (Centered Hub) - 850 lbs. Capacity - 3/4"" Inner Diameter","Durable Superior Casters","37.6","1.63","193","1","0.52%","1.63","0.00","0.00","20.90%","77.61%","1.49"
"42964659273953/ Duplicates","GR-3-A2","Heavy Duty Warehouse Double Guard Rail Add-On Unit - 3 ft","Handle-It","338","1.63","36","1","2.78%","1.63","0.00","0.00","12.50%","81.25%","0.00"
"REM-YL-06-042-C-18-GALV","","6"" x 60"" Removable Locking Bollards","S4 Bollards","544.29","1.62","81","3","3.70%","0.54","0.00","0.00","71.95%","26.83%","2.44"
